name,Image_URL,information,location,visiting_date,tickets
"
        The Red Monastery
    ","https://egymonuments.gov.eg/media/5881/%D8%A7%D9%84%D8%AF%D9%8A%D8%B1-%D8%A7%D9%84%D8%A7%D8%AD%D9%85%D8%B1.jpg?center=0.35714285714285715,0.5&mode=crop&width=645&height=423&rnd=132393731640000000","The Red Monastery is located 21 kilometres west of Sohag province. It is considered one of the most important monasteries established during Christianity’s early history. Because of the red bricks that make up most of its masonry, it is known as the Red Monastery. White limestone was employed in the building’s construction as well as were several pink and black granite columns. The monastery was founded by Saint Bishoy in the beginning of the fourth century AD, but suffered of two fires, the first was during the Roman Period, and the second was as a result of Berber attacks. All that remains of the Red Monastery is its church and surrounding fortification walls to the south. Remains of a structure north of the church also survived and are thought to belong to an industrial area. The main church is composed of a long rectangular space composed of three wings. The middle wing is the largest of the three. A church known as the “Church of the Virgin Mary” is attached to its south-west corner. On its eastern end, the monastery’s church terminates in a tripartite structure decorated with murals done with tempera paint depicting Biblical scenes that include Jesus Christ, the Virgin Mary, the Four Gospels, and the Apostles.
The fort occupies the area south of the church, to which its structures are attached. It likely dates to the reign of Empress Helena.
It is a roughly square building that consists of four floors, the ground and first floors of baked bricks, and the top two of simple sun-dried mud brick. The fort itself contains several units that allowed the monks to reside in it for long stretches of time, including a church, cells, a storage room, and a water source. ","
It is located about 12 km west of Sohag.",24 hours daily,free
"
        Church of the Holy Virgin (Gabal al-Tayr)
    ","https://egymonuments.gov.eg/media/2357/dsc_0385.jpg?crop=0,0,0,0.17531395348837195&cropmode=percentage&width=645&height=423&rnd=132936378890000000","The Church of the Holy Virgin lies on top of Gabal “Mount” al-Tayr, adjacent to the River Nile, in al-Minya in Middle Egypt. It is considered one of the most important places visited by the Holy Family during the Flight into Egypt, second only to the Muharraq Monastery. It was built in 328 AD by Empress Helena, the mother of Constantine the Great, the first Byzantine emperor to convert to Christianity.           Gabal al-Tayr gets its name from tayr “bird” from the vast number of birds living and nesting there. It is also known as Gabal al-Kaff “Mountain of the Palm (of the hand)” and Deir al-Bakara “The Monastery of the Pulley”.           The church is carved entirely out of the rock. It is probably a repurposed ancient Egyptian or Roman tomb. Decorative friezes incorporating flora, fauna, and human forms adorn the area above the western entrance. The church follows the early Christian basilical plan, consisting of a nave with two side aisles, a western return aisle, and three ambulatory shrines.           Gabal al-Tayr is one of the more important pilgrimage destinations. The Feast of the Assumption of the Holy Virgin is celebrated here on the 22nd of August, when people from all around Egypt flock to attend the church during the festival. ","

 
 
 
 Al-Minya
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        The Great Pyramid 
    ","https://egymonuments.gov.eg/media/1220/khofo_edit.jpg?center=0.34615384615384615,0.5213675213675214&mode=crop&width=645&height=423&rnd=132936323900000000","The Great Pyramid is the tomb of King Khufu (c.2589–2566 BC), rendered ""Cheops"" by the Greeks. With its original height of 146.5 meters, it was the tallest structure in the world for 3,800 years. The Great Pyramid still remains the last surviving member of the Seven Wonders of the Ancient World, and took an estimated to 10 to 20 years to build. To this day, it is not entirely certain how this was done.             The Great Pyramid is made of local limestone, but its exterior was once entirely covered with high quality limestone. These casing stones were brought from Tura, south of Maadi, by ship. On the inside, the pyramid has three chambers, one cut into the bedrock underneath, and two high up within the masonry itself, a feature that no other pyramid possesses. The sarcophagus in which Khufu was once laid to rest can still be seen in the upper of these two rooms, the King’s Chamber. This room is accessed through the Grand Gallery, a majestic corbelled ascending passage, and a masterpiece of ancient engineering and architecture.             Two large and impressive ships were discovered in pits on the south side of the pyramid in a dismantled state. These are believed to have been used to transport the royal mummy and burial equipment to the tomb. The eastern ship has since been reconstructed, and is on display in the Boat Museum, directly above the pit in which it was found.  ","

 
 
 
 Giza Plateau 
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 400 / Student: EGP 200
AREA ENTRY TICKET REQUIRED

EGYPTIANS/ARABS:
Adult: EGP 80 / Student: EGP 40
AREA ENTRY TICKET REQUIRED
 
"
"
        Pyramid Complex of Khafre (Khefren)
    ","https://egymonuments.gov.eg/media/2502/55.jpg?center=0.18518518518518517,0.49180327868852458&mode=crop&width=645&height=423&rnd=132936326910000000","Khafre (c.2558–2532 BC), whom the ancient Greeks knew as Khefren, was a son of King Khufu (Cheops), the builder of the Great Pyramid. He built the second pyramid complex at Giza, and constructed his tomb on slightly higher ground, making it appear just as tall as his father’s. At 143.5 meters in height, however, his pyramid is only slightly shorter, and a tremendously impressive monument. Its core masonry is made of blocks of local limestone. The top of the pyramid still preserves the beautifully polished blocks of high-quality limestone that once encased the majority of the structure’s towering height. This white stone was quarried in Tura, south of Maadi, and transported here by ship.             The mortuary temple of Khafre at the foot of his pyramid and the valley temple at the end of the causeway are larger than any of those of older pyramids, and also among the best preserved of the Old Kingdom. Another development in the reign of Khafre is the complexity of their layout, with the elements constituting his mortuary temple becoming the new standard that its later Old Kingdom counterparts would follow. A unique feature of Khafre’s complex is the inclusion of a colossal statue beside his valley temple—the Great Sphinx. The valley temple is made of massive limestone blocks encased in granite, floors made of alabaster, and its wide hall features monolithic granite pillars. The symmetrically arranged niches along the walls of the hall once accommodated statues of the king, some of which are currently on display in the Egyptian Museum. One of these, the famous granodiorite statue of Khafre with Horus as a falcon perched behind his head, is widely considered one of the masterpieces of ancient Egyptian art.   ","

 
 
 
 Giza Plateau 
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 100 / Students : EGP 50
AREA ENTRY TICKET REQUIRED

EGYPTIANS/ARABS:
Adult: EGP 30 / Students : EGP 10
AREA ENTRY TICKET REQUIRED
 
"
"
        The Great Sphinx
    ","https://egymonuments.gov.eg/media/2481/international-campaign16.jpg?center=0.50684931506849318,0.5&mode=crop&width=645&height=423&rnd=132936326470000000","Colossal statues are one of the hallmarks of ancient Egyptian civilization, and the Great Sphinx of Giza is the most famous. It was carved directly out of the bedrock during the Fourth Dynasty (c.2613–2494 BC), which also makes it the oldest. Ancient Egyptian sphinxes represented the king with the body of a lion, in a clear demonstration of his power.             The evidence points to the Great Sphinx having been carved during the reign of Khafre (Khefren to the ancient Greeks; c.2558–2532 BC), the builder of the second of the Giza pyramids. The Great Sphinx and the temple in front of it, called the Sphinx Temple, lie directly next to Khafre’s valley temple and the lower portion of the causeway leading up to his mortuary temple and pyramid. Careful archaeological analysis has revealed that the valley temple was finished before work was begun on the Great Sphinx and its temple. Analysis of the Great Sphinx’s facial features has also revealed striking similarities with those of Khafre’s statues.             The Great Sphinx has captured the imagination of travelers and explorers for millennia, even in ancient Egyptian times. During the Eighteenth Dynasty (c.1550–1295 BC), it came to be seen as a manifestation of the sun god, and was called Horemakhet “Horus in the Horizon”. King Amenhotep II (c.1427–1400 BC) built a temple next to the Sphinx, which he dedicated to this god. His son, Thutmose IV (c.1400–1390 BC), erected a monumental stela between its front paws, called the Dream Stela, on which he recorded a fascinating event.  ","

 
 
 
 Giza Plateau 
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS: EGP 100
AREA ENTRY TICKET REQUIRED

EGYPTIANS/ARABS: EGP 100
AREA ENTRY TICKET REQUIRED
 
"
"
        Pyramid Complex of Menkaure (Mykerinos)
    ","https://egymonuments.gov.eg/media/2480/11111.jpg?center=0.42465753424657532,0.5&mode=crop&width=645&height=423&rnd=132936328150000000","Menkaure (Mykerinos to the ancient Greeks; c.2532–2503 BC) is the builder of the third of the three large Giza Pyramids. He was most likely the son of Khafre (Khefren), and grandson of Khufu (Cheops). With a base area that is less than a quarter of their pyramids’, and with an original height of 65 meters, Menkaure’s is by far the smallest of the three. This reduction in size is due to several factors, including the limited amount of space left on the Giza Plateau. The material used for the outer casing of Menkaure’s pyramid is another. Whereas his predecessors had used limestone for this purpose, Menkaure employed granite, which was quarried in Aswan, over 800 km away. In addition to the logistics involved in transportation of the granite blocks, the material itself is much harder than limestone. However, only the bottom quarter of the casing stones are made of granite however, the rest being limestone.           Like the Great Pyramid, three smaller pyramids can be seen next to Menkaure’s as well, which were used for the burials of his queens. No satellite pyramid has been discovered, however, but it is believed that the largest of the three queens’ pyramids was in fact originally intended to have been the satellite pyramid.            Menkaure died before his pyramid complex was completed, and much of the pyramid’s granite casing blocks were not smoothed. His mortuary and valley temples were intended to consist of colossal limestone blocks encased in granite, but were actually completed with whitewashed mudbrick. Despite this, however, the mortuary cult of Menkaure was practiced for another 300 years after his death.  ","

 
 
 
 Giza Plateau 
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 100 / Student: EGP 50
AREA ENTRY TICKET REQUIRED

EGYPTIANS/ARABS:
Adult: EGP 30 / Student: EGP 10
AREA ENTRY TICKET REQUIRED
 
"
"
        Tomb of Khufukhaf I
    ","https://egymonuments.gov.eg/media/2508/khufukhaf.jpg?center=0.32173913043478258,0.68786127167630062&mode=crop&width=645&height=423&rnd=132936329310000000","The mastaba tomb of Khufukhaf I is located in the Eastern Cemetery of the complex of the Great Pyramid of king Khufu (c.2589–2566 BC) at Giza. This cemetery was reserved for the closest relatives of the king, and contains some of the largest mastabas on the Giza Plateau. The term mastaba (Arabic for “bench”) refers to a type of funerary structure that was generally rectangular in shape and built over the tomb proper, which was underground. The mastaba of Khufukhaf I includes two burial shafts, one for him, and another for his wife, Neferetkau.             The chapel of Khufukhaf I, inside the mastaba, where his funerary cult was conducted, is very well preserved. Many beautiful scenes survive that show him and his wife receiving a wide variety of offerings, which they would both need in the afterlife.             A scene in the chapel depicts him holding his mother’s hand. The hieroglyphic inscriptions beside her reveal that she was the mother of a king, but her name is missing. It is thought that this is Henutsen, one of Khufu’s wives, who is believed to have been buried in one of the three queens’ pyramids next-door. The inscriptions in Khufukhaf I’s mastaba also identify him as a vizier, the highest-ranking official in ancient Egyptian administration. As a vizier and the son of a queen, there is no doubt that Khufukhaf I was one of the most powerful people in the kingdom during his lifetime.  ","

 
 
 
 Giza Plateau 
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 Ticket for Workers Cemetery:
FOREIGNERS:
Adult: EGP 400 / Student: EGP 200

EGYPTIANS/ARABS:
Adult: EGP 400 / Student: EGP 200
 
"
"
        Workers’ Town and Cemetery
    ","https://egymonuments.gov.eg/media/2504/p1110978.jpg?center=0.62376237623762376,0.58518518518518514&mode=crop&width=645&height=423&rnd=132936328990000000","The remains of a large settlement site, known as Heit al-Ghurab, were discovered in the southeastern area of the Giza Plateau. This was where the workers who built the pyramid complexes of Khafre (c.2558–2532 BC) and Menkaure (c.2532–2503 BC) lived. The tantalising remains of an even older settlement underneath may date to Khufu’s reign (c.2589–2566 BC). Houses, magazines, three main streets, and a royal administrative building were discovered within the city walls, as were four huge galleries. These may have been the barracks in which the workers who built the pyramids slept and prepared their food. An enormous amount of fish, bird, cattle, sheep, goat, and pig bones were found, revealing that the state ensured that the workers were in good health so they could fulfill their physically demanding responsibilities.           On the hillside immediately to the west of Heit al-Ghurab is the town’s cemetery. Low-ranking overseers of workmen were buried in modest mastabas on the low slopes of the hill, surrounded by even smaller mastaba or domed tombs, possibly those of their extended families and the workers they supervised. These were largely built of mudbrick, whereas the higher-ranking overseers and skilled craftsmen were buried in large stone mastabas higher up the slope. Among these is the beautifully decorated tomb of the overseer of linen, the overseer of the royal house of purification, Nefertheith. The majority of the bodies discovered show evidence of hard physical labor, many even featuring broken bones. Most of these had healed correctly, however, indicating that, in addition to being well-fed, the workers also received very good medical care.   ","

 
 
 
 Giza Plateau 
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 400 / Student: EGP 200
AREA ENTRY TICKET REQUIRED

EGYPTIANS/ARABS:
Adult: EGP 400 / Student: EGP 200
AREA ENTRY TICKET REQUIRED
 
"
"
        Eastern and Western Cemeteries
    ","https://egymonuments.gov.eg/media/2503/eastern-cemetery-img_6324.jpg?center=0.8666666666666667,0.70370370370370372&mode=crop&width=645&height=423&rnd=132936328540000000","Two of the largest preserved Old Kingdom cemeteries form a part of the pyramid complex of king Khufu (c.2589–2566 BC) in Giza. Called the Eastern and Western Cemeteries after their positions relative to the Great Pyramid, they include the tombs of members of the royal family and the highest-ranking nobles. As such, they contain some of the most beautiful tomb decoration from this period.             The cemeteries consist mostly of mastabas, but rock-cut tombs are attested as well. The term mastaba (Arabic for “bench”) refers to a type of funerary structure that was generally rectangular in shape and built over the tomb proper, which was underground. Most of the mastabas of the Eastern and Western Cemeteries were built during the reign of Khufu, in tandem with his pyramid complex, whereas the rock-cut tombs were for the most part built later.             Most of the tombs of the Eastern Cemetery dating to the reign of Khufu were intended for his closest relatives. The rock-cut tomb of his mother, queen Hetepheres I, along with her funerary equipment, was discovered here, and it is the site of the mastaba of his half-brother Ankh-haf, who had an important administrative position in the construction of the Great Pyramid. On the other hand, the mastabas of the Western Cemetery, which are mostly arranged in an orderly grid, were reserved for very high-ranking noblemen that were not as closely related to the king. Among them is the monumental mastaba of Hemiunu, who oversaw the building of the Great Pyramid.  ","

 
 
 
 Giza Plateau 
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Tomb of Queen Meresankh III
    ","https://egymonuments.gov.eg/media/1231/meresankh-iii-210908-010_008_definitiva_spuntinata-copia.jpg?center=0.40659340659340659,0.49180327868852458&mode=crop&width=645&height=423&rnd=132936327390000000","Under the shadow of the Great Pyramid lies the mastaba of Queen Meresankh III, the wife of Khafra and granddaughter of Khufu. Both very large and exquisitely decorated, this is indeed a tomb worthy of her rank—and fortunately also contains the best preserved wall reliefs in the Eastern Cemetery.           These are decorated with a diverse array of scenes, including bread baking, beer brewing, fowling, herding, mat making, metal smelting, and the sculpting of statues, apparently of Meresankh herself. These, along with the elaborate scenes of offering-bearers bringing all sorts of gifts to Meresankh, were intended to magically provide her soul with a continuous stream of food and goods in the afterlife. Interestingly, among the objects being brought to her are a canopy with a bed being set up within it, an armchair, and a carrying chair. Actual examples of very similar objects were discovered in the tomb of Hetepheres I, the mother of Kufu, and can be seen today at the Egyptian Museum in Cairo.           Among the most striking features of Meresankh’s tomb chapel is a series of ten large statues of women that are carved out of the northern wall. It is believed that they represent, in addition to Meresankh herself, her mother, and daughters as well.  ","

 
 
 
 Giza Plateau 
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 50 / Student: EGP 25
AREA ENTRY TICKET REQUIRED

EGYPTIANS/ ARABS:
Adult: EGP 20 / Student: EGP 5
AREA ENTRY TICKET REQUIRED
 
"
"
        The Step Pyramid Complex of Djoser
    ","https://egymonuments.gov.eg/media/2793/_dsc8617.jpg?crop=0.38929416505230352,0.085725914468540734,0.17998466885064143,0.2655788830235391&cropmode=percentage&width=645&height=423&rnd=132936331710000000","Djoser’s Step Pyramid in Saqqara is one of Egypt’s most iconic monuments—and rightfully so. It constitutes a significant historical turning point in ancient Egyptian funerary monuments, revolutionizing stone architecture and royal burials. In addition to its beauty and monumental scale, it is not only the very first pyramid that the ancient Egyptians ever built, but also the oldest known ancient Egyptian stone structure. The sheer age of the Step Pyramid is astounding. It was built in the early Third Dynasty, during the reign of King Netjerykhet (c.2667–2648 BC), who is now more well-known as Djoser. Before his reign, royal and elite Egyptians were buried in mastabas. This word, meaning “bench” in Arabic, refers to a type of funerary structure that was generally rectangular in shape and built over the tomb proper, which was underground. The Step Pyramid is composed of six stacked mastabas, thus creating the stepped effect. Imhotep, its architect, may very well have been responsible for this major innovation. At one end of the pyramid complex, a structure known as the South Tomb is believed to have acted as an additional, symbolic, tomb for Djoser, perhaps reflecting his role as the dual king of both Upper and Lower Egypt. Djoser’s pyramid complex also has some unique features. The two courts in front of the pyramid recreate the setting of the Sed Festival, a royal ceremony aimed at rejuvenating the king and regenerating his power. The structures on the side of the eastern court emulate in stone the ephemeral shrines that were used in this festival, thus ensuring that the king could continue being rejuvenated forever. ","

 
 
 
 Saqqara
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
- Pyramid of Djoser:
Adult: EGP 100 / Student: EGP 50
- The Southern Tomb in Djoser complex:
Adult: EGP 100 / Student: EGP 50

EGYPTIANS/ARABS:
- Pyramid of Djoser:
Adult: EGP 40 / Student: EGP 20
- The Southern Tomb in Djoser complex:
Adult: EGP 40 / Student: EGP 20
 
"
"
        Pyramid Complex of Teti
    ","https://egymonuments.gov.eg/media/2796/0197.jpg?center=0.18518518518518517,0.55737704918032782&mode=crop&width=645&height=423&rnd=132936332370000000","Teti (c.2345–2323 BC), the first ruler of the Sixth Dynasty, built his pyramidal complex not far from the Step Pyramid of Djoser (c.2667–2648 BC), in Saqqara. Upon completion, it stood 52.5 m tall. Although it was originally encased in blocks of fine limestone, its core consists of small blocks of local limestone and debris fill. This meant that, when the casing blocks were removed in antiquity, the core, unable to sustain its shape, began to droop. The pyramid appears little different from a natural hill today as a result. Its substructure, however, is intact.           A descending passageway turns into a horizontal corridor, which leads to an antechamber. Three magazines for burial equipment lie on the left, but since the pyramid was robbed in antiquity, these were found empty. On the right, west, side is the burial chamber. Its ceiling is decorated with gold stars against a dark blue background, reflecting the ancient Egyptian notion of the tomb as a microcosm of the universe. The end of the corridor, and the entirety of the antechamber and burial chamber are beautifully decorated with Pyramid Texts. These are a collection of rituals and recitations that were designed to ensure the king’s successful journey to the afterlife. The originally intended decorative programme was never completed, however, indicating the king’s untimely death. The third century BC ancient Egyptian priest and historian Manetho recorded that Teti was killed by his bodyguards, but there is little evidence to support this.          Some fragments have been discovered of the mortuary temple of Teti’s pyramid complex despite the fact that most of its blocks were robbed in antiquity. His valley temple has not been located yet. A large cemetery for the burials of Teti’s officials lies in front of his pyramid. Some of the grandest and most beautifully decorated tombs of the Old Kingdom are located here, such as the mastabas of the viziers Mereruka and Kagemni.  ","

 
 
 
 Saqqara
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Pyramid of Unas 
    ","https://egymonuments.gov.eg/media/2795/_dsc8493.jpg?center=0.39189189189189189,0.5113122171945701&mode=crop&width=645&height=423&rnd=132936332110000000","The pyramid of Unas was built in the 5th Dynasty. Despite its size, this pyramid is very significant for having the first example of funerary texts known as Pyramid Texts. These texts were inscribed on the walls of the burial chamber and assisted the deceased pharaoh in his journey to the afterlife through instructive spells. As with most pyramids, two temples linked by a long causeway compose part of the pyramid complex. The remains of the valley temple can be seen at the modern entrance to the site of Saqqara. Much of the causeway, which was elaborately decorated, has been removed and reused by later kings, but a part of it still remains offering visitors a glimpse of what it once looked like.   ","

 
 
 
 Saqqara
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Serapeum
    ","https://egymonuments.gov.eg/media/2797/g75a0612.jpg?center=0.33913043478260868,0.49664429530201343&mode=crop&width=645&height=423&rnd=132936332730000000","The Serapeum at Saqqara is the tomb of the sacred Apis bulls that were associated with the god Ptah, whose cult center was in Memphis. An avenue of sphinxes leads to the Serapeum, which is composed of two long corridors that once housed the mummified remains of the bulls . The tomb was in use from the time of Amenhotep III in the New Kingdom through to the Ptolemaic Period. Priests selected certain bulls based on their markings and divine birth . The bulls were treated with a lot of privilege during their life. Upon death, the bulls were mummified and placed in sarcophagi in an elaborate celebration. Inscriptions record many kings who made offerings in the Serapeum. Two sons of Ramses II, Khaem-waset and Meren-ptah, donated several bulls, jewelry and shabtis as princes and High Priests of Ptah.  ","

 
 
 
 Saqqara
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 150 / Student: EGP 75

EGYPTIANS/ARABS:
Adult: EGP 20 / Student: EGP 5
 
"
"
        Tomb of the Two Brothers Niankh‑Khnum and Khnumhotep
    ","https://egymonuments.gov.eg/media/2806/_mg_5524.jpg?crop=0.084922010398613523,0,0.13518197573656845,0.23318337606820294&cropmode=percentage&width=645&height=423&rnd=132393731630000000","The so-called Tomb of the Two Brothers is among the largest and most magnificently decorated in Saqqara. It belongs to Niankh‑Khnum and Khnumhotep, both of whom held the titles “overseer of the manicurists of the Great House” and “prophet of Re at the Sun‑temple of Niuserre” a Fifth‑Dynasty king (c.2445–2421 BC). The tomb is a mastaba (Arabic for “bench”), a type of funerary structure that was generally rectangular in shape and built over the tomb proper, which was underground. The chapel of the tomb, where the cult of the tomb owners would be practiced, was generally located within the mastaba itself. Here, in addition to the chapel rooms within the mastaba, a part of it was cut out of the rock.          The walls of the tomb are decorated with lively scenes of fishing with nets and spears, agriculture, butchery, gardening, carpentry, and jewelry‑making. Another scene depicts a banquet during which both tomb owners are entertained by singers and dancers while musicians play their instruments. In an interesting tribute to the Two Brothers’ own profession, another scene shows barbers, manicurists and pedicurists at work.           One particular scene, which is generally reserved for a man and his wife, depicts Niankh‑Khnum and Khnumhotep in an intimate scene, standing close to one another. This, combined with the fact that they were both buried in the same tomb, has led to much speculation. Due to several factors, including the fact that each of them is represented with his wife, it is believed that Niankh‑Khnum and Khnumhotep were identical twins  ","

 
 
 
 Saqqara
 
 
",24 hours daily,free
"
        Tomb of Mereruka
    ","https://egymonuments.gov.eg/media/2805/g75a2817.jpg?center=0.39047619047619048,0.51824817518248179&mode=crop&width=645&height=423&rnd=132936333080000000","Mereruka was vizier during the reigns of Kings Teti (c.2345–2323 BC) and Pepy I (c.2321–2287 BC). As vizier, the highest-ranking official, and husband of a daughter of Teti’s, Mereruka was a very powerful and wealthy man. It is all the more significant that he held this title during the reigns of the first two rulers of the Sixth Dynasty, a time when the elite’s power had grown substantially.           Mereruka was buried in a mastaba to the north of the pyramid of Teti in Saqqara. Reflecting his status, it is among the largest in the Teti cemetery, and among the most exquisitely decorated tombs of the Old Kingdom (c.2686–2181 BC). The rooms inside the mastaba were often the venue for the performance of the cult for the soul of the tomb owner. Mereruka’s massive mastaba contains a total of thirty rooms, including five for his wife, and another five for his son.            Many beautiful scenes adorning the walls of this tomb provide insight into life during the Old Kingdom, such as the herding of cattle through marshes, the harpooning of hippopotami, and fishing and fowling scenes, all of which are shown in amazingly vivid detail. Also shown are scenes of animals being force-fed, although exceptionally hyenas are depicted among them. A unique scene depicts personifications of the three seasons of the ancient Egyptian calendar. The focal point of the entire tomb was the false-door. In Mereruka’s mastaba, a life-size statue of him steps out, ready to receive the offerings that were set on the offering table before him.  ","

 
 
 
 Saqqara
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 80 / Student: EGP 40

EGYPTIANS/ ARABS:
Adult: EGP 20 / Student: EGP 5
 
"
"
        New Kingdom Cemetery
    ","https://egymonuments.gov.eg/media/5548/dsc_0046.jpg?center=0.45555555555555555,0.51851851851851849&mode=crop&width=645&height=423&rnd=132936333530000000","The vast necropolis of Saqqara, which served as the cemetery of ancient Memphis, contains tombs from almost every period of Egyptian history. The New Kingdom (c.1550–1069 BC) cemetery south of the causeway of Unas is where several important officials of the Eighteenth to Twentieth Dynasties were buried. Among them are Ptahemwia, the “Royal Butler, Clean of Hands” under Kings Akhenaten (c.1352–1336 BC) and Tutankhamun (c.1336–1327 BC), Maya, the overseer of the treasury under Tutankhamun, and Tia, the overseer of the treasury during the reign of Ramses II (c.1279–1213 BC). This is also the site of the tomb Horemheb was planning for himself before he became king.           Like most private tombs, the tombs of this New Kingdom cemetery consist of two parts: a sealed underground section that includes the burial chamber, and the above‑ground, accessible, tomb chapel, where the cult of the deceased was practised. What sets the tombs of this cemetery apart, however, is the fact that they are neither mastabas nor rock‑cut, but free‑standing structures known as temple‑tombs. The larger tombs, like the great state temples of the period (hence their name), were entered through a pylon gateway that led into an open‑air courtyard that preceded the tomb chapel. The central chapel would have been surmounted by a small pyramid, a symbol of rebirth. A shaft in the forecourt led to the underground burial chamber.           This section of Saqqara was explored by tomb robbers and art dealers in the 19th century. Many statues and reliefs were taken without being recorded, and sold to museums and collectors abroad. A 19th century map of the area made by Prussian Egyptologist Karl R. Lepsius led to the rediscovery of the New Kingdom cemetery in 1975 by the Anglo‑Dutch expedition of the Egypt Exploration Society (EES) in London and the National Museum of Antiquities, Leiden, led by Geoffrey T. Martin.  ","

 
 
 
 Saqqara
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
- Noble Tombs + New Kingdom Tombs:
Adult: EGP 140 / Student: EGP 70

EGYPTIANS/ ARABS:
- Noble Tombs + New Kingdom Tombs:
Adult: EGP 10 / Student: EGP 5
 
"
"
        Memphite Tomb of Horemheb
    ","https://egymonuments.gov.eg/media/5549/dsc_0051.jpg?center=0.34883720930232559,0.53333333333333333&mode=crop&width=645&height=423&rnd=132393731630000000","Horemheb (c.1323–1295 BC) was the last king of the Eighteenth Dynasty. Prior to his ascension to the throne, during the reign of Tutankhamun (c.1336–1327 BC), he was the highest‑ranking military officer in the realm, and held other titles as lofty as “the King’s Deputy in the Entire Land”. He was ultimately buried in the Valley of the Kings as would befit his royal status. Before this, however, Horemheb had naturally begun work on another tomb, in Saqqara.           This tomb is the largest in the New Kingdom cemetery south of the causeway of the Fifth Dynasty King Unas (c.2375–2345 BC). Like the other major tombs in this cemetery, it is a temple‑tomb, so named because it reflects the structure of contemporary great state temples. It is entered through a pylon gateway preceding two open‑air courtyards that themselves precede the inner rooms of the chapel, where Horemheb’s cult was practised. The central room was surmounted by a pyramid, a solar symbol of rebirth. The burial chamber was underground, accessed through a vertical shaft cut through the floor of the inner courtyard. The discovery of the bones of a fetus along with a female skeleton, possibly of Horemheb’s wife Mutnedjmet, in his Memphite tomb shows that it did not go unused. The reliefs in this tomb include scenes depicting Horemheb carrying out his duties. One scene shows representatives of foreign rulers pleading before Tutankhamun, with Horemheb acting as intermediary. Two scenes in particular show his exalted status prior to his rise to kingship. Here, he is depicted followed by rows of foreign captives, being publicly rewarded with the Gold of Honor by Tutankhamun himself. The Gold of Honor was awarded by kings to their officials for exceptional service. The tomb is decorated with funerary scenes as well, one of which depicts the Opening of the Mouth ritual.             The location of this tomb was not always known. It was discovered in the early 19th century, when this area of Saqqara was explored by tomb‑robbers and art dealers, who then sold their findings to museums and collectors abroad. These were not limited to statues and other portable objects. Entire sections of wall relief were removed, and none of the provenance was recorded. Horemheb’s Memphite tomb was particularly affected, and its location was subsequently forgotten. Thankfully, it and the New Kingdom cemetery were eventually rediscovered in 1975. ","

 
 
 
 Saqqara
 
 
",24 hours daily,free
